Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono
15 de dez de 2018 08:21:29,Morning Ride,Pedalada,,2959,"17,32",,,false,,,85.0,,2959.0,2939.0,17326.30078125,21.5,,214.79727172851562,323.49700927734375,693.5999755859375,892.2999877929688,15.300000190734863,-0.6273699402809143,,,,,,,,125.0318374633789,409.7279968261719,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5113.7001953125,,,,,
16 de dez de 2018 08:40:24,Morning Ride,Pedalada,,14408,"41,44",,,false,,,85.0,,14408.0,11193.0,41447.30078125,19.5,,950.2706298828125,952.9710083007812,659.4000244140625,908.2999877929688,36.900001525878906,-0.006514296401292086,,,,,,,,123.4039535522461,1540.10595703125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17672.900390625,,,,,
21 de dez de 2018 08:47:18,Atividade matutina,Pedalada,,9151,"49,45",,,false,,,85.0,,9151.0,9053.0,49455.0,18.700000762939453,,761.2622680664062,816.1619873046875,471.8999938964844,892.2999877929688,32.79999923706055,-0.11101000756025314,,,,,,,,121.43598937988281,1225.7864990234375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601.0,,,,,
23 de dez de 2018 08:11:04,Atividade matutina,Pedalada,,7144,"34,38",,,false,,,85.0,,7144.0,6826.0,34381.6015625,20.399999618530273,,630.5355834960938,632.635986328125,693.5999755859375,949.7999877929688,37.70000076293945,-0.006107917986810207,,,,,,,,131.2166748046875,998.6912841796875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16398.099609375,,,,,
26 de dez de 2018 08:10:38,Atividade matutina,Pedalada,,5140,"26,6",,,false,,,85.0,,5140.0,5020.0,26606.400390625,20.299999237060547,,355.5393371582031,438.53900146484375,693.5999755859375,894.2999877929688,23.5,-0.3119550049304962,,,,,,,,113.1500015258789,633.33447265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10574.099609375,,,,,
29 de dez de 2018 08:07:13,Atividade matutina,Pedalada,,10362,"40,68",,,false,,,85.0,,10362.0,9988.0,40685.80078125,22.899999618530273,,972.024658203125,983125,659.7000122070312,886.4000244140625,38.79999923706055,-0.027282245457172394,,,,,,,,136.64381408691406,1521.7523193359375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24949.30078125,,,,,
12 de jan de 2019 08:19:03,Atividade matutina,Pedalada,Partiu piscina de bolinhas ,15305,"44,29",,,false,,,85.0,,15305.0,11117.0,44293.1015625,21.399999618530273,,456.29864501953125,442.0989990234375,677.2000122070312,894.2999877929688,21.399999618530273,0.03205917030572891,,,,,,,,68.03845977783203,843.3681640625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20803.0,,,,,
25 de jan de 2019 15:03:54,Pedalada vespertina,Pedalada,,1088,"4,81",,,false,,Branquela,85.0,16.0,1088.0,882.0,4814.89990234375,13.199999809265137,,111.64895629882812,105.7490005493164,684.0,712.9000244140625,18.0,0.12253629416227341,,,,,,,,243.22393798828125,239.1937713623047,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.699951171875,,,,,
26 de jan de 2019 18:06:20,Pedalada vespertina,Pedalada,,948,"4,78",,,false,,Branquela,85.0,16.0,948.0,904.0,4781.0,12.699999809265137,,102.70262145996094,97.3030014038086,683.5999755859375,712.5999755859375,30.5,0.11294708400964737,,,,,,,,240.5122833251953,242.4264678955078,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2921.39990234375,,,,,
28 de jan de 2019 08:23:06,Pedalada matutina,Pedalada,,1343,"5,1",,,false,,Branquela,85.0,16.0,1343.0,1104.0,5099.7998046875,13.399999618530273,,107.79076385498047,99.99099731445312,684.9000244140625,717.2000122070312,31.0,0.15294717252254486,,,,,,,,212.5338897705078,261.620849609375,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889.300048828125,,,,,
